"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA
DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR
DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","",""
"","","","","","","",""
"POBLACIÓN GRADUADA EN EDUCACIÓN SUPERIOR. EL SALVADOR  AÑO 2021","","","","","","",""
"","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2021 SNIEES","","","","","","",""
"INSTITUCIÓN DE EDUCACIÓN SUPERIOR","SECTOR","DEPARTAMENTO","GRADO ACADÉMICO","CARRERA","FEMENINO","MASCULINO","TOTAL"
"UNIVERSIDAD ALBERT EINSTEIN","PRIVADO","La Libertad","ARQUITECTURA","ARQUITECTURA","8","3","11"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","ARQUITECTURA","ARQUITECTURA","28","36","64"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","ARQUITECTURA","ARQUITECTURA","19","19","38"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","ARQUITECTURA","ARQUITECTURA","29","19","48"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","ARQUITECTURA","ARQUITECTURA","38","28","66"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","ARQUITECTURA","ARQUITECTURA","20","23","43"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","ARQUITECTURA","ARQUITECTURA","11","20","31"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","ARQUITECTURA","ARQUITECTURA","16","18","34"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","ARQUITECTURA","ARQUITECTURA","33","32","65"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","ARQUITECTURA","ARQUITECTURA","16","10","26"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","ARQUITECTURA","ARQUITECTURA","17","10","27"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","ARQUITECTURA","ARQUITECTURA DE INTERIORES","24","4","28"
"UNIVERSIDAD POLITECNICA DE EL SALVADOR","PRIVADO","San Salvador","ARQUITECTURA","ARQUITECTURA- SEMIPRESENCIAL","7","10","17"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","CURSO FORMACION","CURSO DE FORMACION PEDAGOGICA PARA PROFESIONALES","3","2","5"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","DOCTORADO","DOCTORADO EN CIENCIAS ECONOMICAS- SEMIPRESENCIAL","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","DOCTORADO","DOCTORADO EN CIENCIAS JURÍDICAS","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","DOCTORADO","DOCTORADO EN CIENCIAS SOCIALES","0","0","0"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","DOCTORADO","DOCTORADO EN CIENCIAS SOCIALES","0","0","0"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","DOCTORADO","DOCTORADO EN CIENCIAS SOCIALES- SEMIPRESENCIAL","0","1","1"
"UNIVERSIDAD AUTONOMA DE SANTA ANA","PRIVADO","Santa Ana","DOCTORADO","DOCTORADO EN CIRUGIA DENTAL","13","3","16"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","DOCTORADO","DOCTORADO EN CIRUGIA DENTAL","23","15","38"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","PRIVADO","San Salvador","DOCTORADO","DOCTORADO EN CIRUGIA DENTAL","33","16","49"
"UNIVERSIDAD NUEVA SAN SALVADOR","PRIVADO","San Salvador","DOCTORADO","DOCTORADO EN CIRUGIA DENTAL","1","4","5"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","DOCTORADO","DOCTORADO EN CIRUGIA DENTAL","6","14","20"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","DOCTORADO","DOCTORADO EN CIRUGÍA DENTAL","0","0","0"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","DOCTORADO","DOCTORADO EN EDUCACIÓN","0","0","0"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","DOCTORADO","DOCTORADO EN EDUCACIÓN","0","0","0"
