"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA","","","","","","",""
"DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR","","","","","","",""
"DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","",""
"","","","","","","",""
"POBLACIÓN GRADUADA EN EDUCACIÓN SUPERIOR. EL SALVADOR  AÑO 2022","","","","","","",""
"","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2022 SNIEES","","","","","","",""
"INSTITUCIÓN DE EDUCACIÓN SUPERIOR","SECTOR","DEPARTAMENTO","GRADO ACADÉMICO","CARRERA","FEMENINO","MASCULINO","TOTAL"
"UNIVERSIDAD ALBERT EINSTEIN","PRIVADO","La Libertad","ARQUITECTURA","ARQUITECTURA","3","12","15"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","ARQUITECTURA","ARQUITECTURA","39","48","87"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","ARQUITECTURA","ARQUITECTURA","22","20","42"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","ARQUITECTURA","ARQUITECTURA","39","12","51"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","ARQUITECTURA","ARQUITECTURA","13","14","27"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","ARQUITECTURA","ARQUITECTURA","26","23","49"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","ARQUITECTURA","ARQUITECTURA","9","9","18"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","ARQUITECTURA","ARQUITECTURA","36","31","67"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","ARQUITECTURA","ARQUITECTURA","19","9","28"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","ARQUITECTURA","ARQUITECTURA","10","21","31"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","ARQUITECTURA","ARQUITECTURA","27","35","62"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","ARQUITECTURA","ARQUITECTURA DE INTERIORES","33","3","36"
"UNIVERSIDAD POLITECNICA DE EL SALVADOR","PRIVADO","San Salvador","ARQUITECTURA","ARQUITECTURA- SEMIPRESENCIAL","12","12","24"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","DOCTORADO POSGRADO","DOCTORADO EN CIENCIAS ECONOMICAS- SEMIPRESENCIAL","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","DOCTORADO POSGRADO","DOCTORADO EN CIENCIAS JURÍDICAS","0","0","0"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","DOCTORADO POSGRADO","DOCTORADO EN CIENCIAS SOCIALES","1","1","2"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","DOCTORADO POSGRADO","DOCTORADO EN CIENCIAS SOCIALES","0","0","0"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","DOCTORADO POSGRADO","DOCTORADO EN CIENCIAS SOCIALES- SEMIPRESENCIAL","1","1","2"
"UNIVERSIDAD AUTONOMA DE SANTA ANA","PRIVADO","Santa Ana","DOCTORADO PREGRADO","DOCTORADO EN CIRUGIA DENTAL","7","7","14"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","PRIVADO","San Salvador","DOCTORADO PREGRADO","DOCTORADO EN CIRUGIA DENTAL","25","9","34"
"UNIVERSIDAD NUEVA SAN SALVADOR","PRIVADO","San Salvador","DOCTORADO PREGRADO","DOCTORADO EN CIRUGIA DENTAL","0","0","0"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","DOCTORADO PREGRADO","DOCTORADO EN CIRUGIA DENTAL","33","4","37"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","DOCTORADO PREGRADO","DOCTORADO EN CIRUGIA DENTAL","36","16","52"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","DOCTORADO PREGRADO","DOCTORADO EN CIRUGÍA DENTAL","0","0","0"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","DOCTORADO POSGRADO","DOCTORADO EN DERECHO PRIVADO","1","2","3"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","DOCTORADO POSGRADO","DOCTORADO EN EDUCACIÓN","0","0","0"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","DOCTORADO POSGRADO","DOCTORADO EN EDUCACIÓN","0","0","0"
"UNIVERSIDAD DE EL SALVADOR, SAN VICENTE","PÚBLICO","San Vicente","DOCTORADO POSGRADO","DOCTORADO EN EDUCACIÓN CON ESPECIALIDAD EN CULTURA DE PAZ Y DERECHOS HUMANOS","0","0","0"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","DOCTORADO POSGRADO","DOCTORADO EN FILOSOFÍA LATINOAMERICANA","0","3","3"
"UNIVERSIDAD AUTONOMA DE SANTA ANA","PRIVADO","Santa Ana","DOCTORADO PREGRADO","DOCTORADO EN MEDICINA","17","22","39"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","DOCTORADO PREGRADO","DOCTORADO EN MEDICINA","0","0","0"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","DOCTORADO PREGRADO","DOCTORADO EN MEDICINA","13","8","21"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","DOCTORADO PREGRADO","DOCTORADO EN MEDICINA","23","19","42"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","DOCTORADO PREGRADO","DOCTORADO EN MEDICINA","39","34","73"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","DOCTORADO PREGRADO","DOCTORADO EN MEDICINA","0","0","0"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","DOCTORADO PREGRADO","DOCTORADO EN MEDICINA","13","16","29"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","PRIVADO","San Salvador","DOCTORADO PREGRADO","DOCTORADO EN MEDICINA","68","34","102"
"UNIVERSIDAD NUEVA SAN SALVADOR","PRIVADO","San Salvador","DOCTORADO PREGRADO","DOCTORADO EN MEDICINA","24","13","37"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","DOCTORADO PREGRADO","DOCTORADO EN MEDICINA","122","72","194"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","DOCTORADO PREGRADO","DOCTORADO EN MEDICINA","151","106","257"
"UNIVERSIDAD DON BOSCO","PRIVADO","San Salvador","DOCTORADO POSGRADO","DOCTORADO EN TEOLOGÍA","0","0","0"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","ESPECIALIDAD","ESPECIALIDAD EN CIRUGIA GENERAL","1","2","3"
