"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA
DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR
DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","",""
"","","","","","","",""
"ESTUDIANTES MATRÍCULADOS EN EDUCACIÓN SUPERIOR (CICLO I). EL SALVADOR 2021","","","","","","",""
"","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2021 SNIEES","","","","","","",""
"INSTITUCIÓN DE EDUCACIÓN SUPERIOR","SECTOR","DEPARTAMENTO","GRADO ACADÉMICO","CARRERA","FEMENINO","MASCULINO","TOTAL"
"UNIVERSIDAD ALBERT EINSTEIN","Privado","LA LIBERTAD","ARQUITECTURA","ARQUITECTURA","49","42","91"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","Privado","SAN MIGUEL","ARQUITECTURA","ARQUITECTURA","183","187","370"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","Privado","LA LIBERTAD","ARQUITECTURA","ARQUITECTURA","367","189","556"
"UNIVERSIDAD DE EL SALVADOR","Público","SAN SALVADOR","ARQUITECTURA","ARQUITECTURA","437","417","854"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","Público","SAN MIGUEL","ARQUITECTURA","ARQUITECTURA","140","160","300"
"UNIVERSIDAD DE ORIENTE","Privado","SAN MIGUEL","ARQUITECTURA","ARQUITECTURA","63","84","147"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","Privado","LA LIBERTAD","ARQUITECTURA","ARQUITECTURA","178","154","332"
"UNIVERSIDAD FRANCISCO GAVIDIA","Privado","SAN SALVADOR","ARQUITECTURA","ARQUITECTURA","109","121","230"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","Privado","SAN SALVADOR","ARQUITECTURA","ARQUITECTURA","117","210","327"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","Privado","SANTA ANA","ARQUITECTURA","ARQUITECTURA","137","200","337"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","Público","SANTA ANA","ARQUITECTURA","ARQUITECTURA","202","261","463"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","Privado","LA LIBERTAD","ARQUITECTURA","ARQUITECTURA DE INTERIORES","168","28","196"
"UNIVERSIDAD POLITECNICA DE EL SALVADOR","Privado","SAN SALVADOR","ARQUITECTURA","ARQUITECTURA- SEMIPRESENCIAL","65","67","132"
"UNIVERSIDAD DE EL SALVADOR","Público","SAN SALVADOR","DOCTORADO POSGRADO","DOCTORADO EN CIENCIAS ECONOMICAS- SEMIPRESENCIAL","2","9","11"
"UNIVERSIDAD DE EL SALVADOR","Público","SAN SALVADOR","DOCTORADO POSGRADO","DOCTORADO EN CIENCIAS JURÍDICAS","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","Público","SAN SALVADOR","DOCTORADO POSGRADO","DOCTORADO EN CIENCIAS SOCIALES","0","0","0"
"UNIVERSIDAD DON BOSCO","Privado","SAN SALVADOR","DOCTORADO POSGRADO","DOCTORADO EN CIENCIAS SOCIALES","11","8","19"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","Privado","LA LIBERTAD","DOCTORADO POSGRADO","DOCTORADO EN CIENCIAS SOCIALES- SEMIPRESENCIAL","10","8","18"
"UNIVERSIDAD AUTONOMA DE SANTA ANA","Privado","SANTA ANA","DOCTORADO PREGRADO","DOCTORADO EN CIRUGIA DENTAL","173","71","244"
"UNIVERSIDAD DE EL SALVADOR","Público","SAN SALVADOR","DOCTORADO PREGRADO","DOCTORADO EN CIRUGIA DENTAL","483","199","682"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","Privado","SAN SALVADOR","DOCTORADO PREGRADO","DOCTORADO EN CIRUGIA DENTAL","346","156","502"
"UNIVERSIDAD NUEVA SAN SALVADOR","Privado","SAN SALVADOR","DOCTORADO PREGRADO","DOCTORADO EN CIRUGIA DENTAL","78","32","110"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","Privado","SAN SALVADOR","DOCTORADO PREGRADO","DOCTORADO EN CIRUGIA DENTAL","499","181","680"
"UNIVERSIDAD DE ORIENTE","Privado","SAN MIGUEL","DOCTORADO PREGRADO","DOCTORADO EN CIRUGÍA DENTAL","0","0","0"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","Privado","SANTA ANA","DOCTORADO POSGRADO","DOCTORADO EN EDUCACIÓN","0","0","0"
"UNIVERSIDAD DON BOSCO","Privado","SAN SALVADOR","DOCTORADO POSGRADO","DOCTORADO EN EDUCACIÓN","22","36","58"
