"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA
DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR
DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","","",""
"","","","","","","","",""
"ESTUDIANTES MATRÍCULADOS EN EDUCACIÓN SUPERIOR (CICLO I). EL SALVADOR 2022","","","","","","","",""
"","","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2022 SNIEES","","","","","","","",""
"INSTITUCIÓN DE EDUCACIÓN SUPERIOR","SEDE","SECTOR","DEPARTAMENTO","GRADO ACADÉMICO","CARRERA","FEMENINO","MASCULINO","TOTAL"
"UNIVERSIDAD ALBERT EINSTEIN","San Salvador - Central","Privado","San Salvador","Arquitectura","ARQUITECTURA","36","43","79"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","San Miguel-Central","Privado","San Miguel","Arquitectura","ARQUITECTURA","160","155","315"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","Santa Ana-Central","Privado","Santa Ana","Arquitectura","ARQUITECTURA","167","192","359"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","La Libertad - Central","Privado","La Libertad","Arquitectura","ARQUITECTURA","369","201","570"
"UNIVERSIDAD DE EL SALVADOR","San Salvador - Central","Público","San Salvador","Arquitectura","ARQUITECTURA","441","384","825"
"UNIVERSIDAD DE EL SALVADOR","Santa Ana-Regional ","Público","Santa Ana","Arquitectura","ARQUITECTURA","211","269","480"
"UNIVERSIDAD DE EL SALVADOR","San Miguel-Regional","Público","San Miguel","Arquitectura","ARQUITECTURA","146","154","300"
"UNIVERSIDAD DE ORIENTE","San Miguel-Central","Privado","San Miguel","Arquitectura","ARQUITECTURA","63","80","143"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","La Libertad - Central","Privado","La Libertad","Arquitectura","ARQUITECTURA","177","127","304"
"UNIVERSIDAD FRANCISCO GAVIDIA","San Salvador - Central","Privado","San Salvador","Arquitectura","ARQUITECTURA","131","120","251"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","San Salvador - Central","Privado","San Salvador","Arquitectura","ARQUITECTURA","139","217","356"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","La Libertad - Central","Privado","La Libertad","Arquitectura","ARQUITECTURA DE INTERIORES","177","29","206"
"UNIVERSIDAD POLITECNICA DE EL SALVADOR","San Salvador - Central","Privado","San Salvador","Arquitectura","ARQUITECTURA- SEMIPRESENCIAL","59","65","124"
"UNIVERSIDAD DE EL SALVADOR","San Salvador - Central","Público","San Salvador","Doctorado Posgrado","DOCTORADO EN CIENCIAS ECONOMICAS- SEMIPRESENCIAL","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","San Salvador - Central","Público","San Salvador","Doctorado Posgrado","DOCTORADO EN CIENCIAS JURÍDICAS","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","San Salvador - Central","Público","San Salvador","Doctorado Posgrado","DOCTORADO EN CIENCIAS SOCIALES","0","0","0"
"UNIVERSIDAD DON BOSCO","San Salvador - Central","Privado","San Salvador","Doctorado Posgrado","DOCTORADO EN CIENCIAS SOCIALES","6","3","9"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","La Libertad - Central","Privado","La Libertad","Doctorado Posgrado","DOCTORADO EN CIENCIAS SOCIALES- SEMIPRESENCIAL","6","4","10"
"UNIVERSIDAD AUTONOMA DE SANTA ANA","Santa Ana-Central","Privado","Santa Ana","Doctorado Pregrado","DOCTORADO EN CIRUGIA DENTAL","198","81","279"
"UNIVERSIDAD DE EL SALVADOR","San Salvador - Central","Público","San Salvador","Doctorado Pregrado","DOCTORADO EN CIRUGIA DENTAL","461","194","655"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","San Salvador - Central","Privado","San Salvador","Doctorado Pregrado","DOCTORADO EN CIRUGIA DENTAL","374","153","527"
"UNIVERSIDAD NUEVA SAN SALVADOR","San Salvador - Central","Privado","San Salvador","Doctorado Pregrado","DOCTORADO EN CIRUGIA DENTAL","76","31","107"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","San Salvador - Central","Privado","San Salvador","Doctorado Pregrado","DOCTORADO EN CIRUGIA DENTAL","574","176","750"
"UNIVERSIDAD DE ORIENTE","San Miguel-Central","Privado","San Miguel","Doctorado Pregrado","DOCTORADO EN CIRUGÍA DENTAL","30","13","43"
